"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","69","API Тест 4: Удаление питомца","chromium","2026-02-12","passed","2026-02-12","API тесты питомцев","api/pet.spec.js","",""
"","1951","Тест 4: Проверка логотипа на главной","chromium","2026-02-12","passed","2026-02-12","Простые UI тесты","ui/simple.spec.js","",""
"","2552","Тест 3: Поиск существующего товара","chromium","2026-02-12","passed","2026-02-12","Поиск товаров","ui/search.spec.js","",""
"","2352","Тест 2: Проверка отображения формы регистрации","chromium","2026-02-12","passed","2026-02-12","Регистрация пользователя","ui/registration.spec.js","",""
"","1995","Тест 3: Открытие главной страницы","chromium","2026-02-12","passed","2026-02-12","Простые UI тесты","ui/simple.spec.js","",""
"","207","API Тест 1: Создание нового питомца","chromium","2026-02-12","passed","2026-02-12","API тесты питомцев","api/pet.spec.js","",""
"","50","API Тест 5: Проверка обязательных полей при создании","chromium","2026-02-12","passed","2026-02-12","API тесты питомцев","api/pet.spec.js","",""
"","2538","Тест 4: Поиск несуществующего товара","chromium","2026-02-12","passed","2026-02-12","Поиск товаров","ui/search.spec.js","",""
"","75","API Тест 2: Получение питомца по ID","chromium","2026-02-12","passed","2026-02-12","API тесты питомцев","api/pet.spec.js","",""
"","2838","Тест 5: Добавление товара в корзину","chromium","2026-02-12","passed","2026-02-12","Корзина покупок","ui/cart.spec.js","",""
"","3292","Тест 1: Успешная регистрация нового пользователя","chromium","2026-02-12","passed","2026-02-12","Регистрация пользователя","ui/registration.spec.js","",""
"","74","API Тест 3: Обновление данных питомца","chromium","2026-02-12","passed","2026-02-12","API тесты питомцев","api/pet.spec.js","",""
